action,position,equity
2,1,9998385.16187676
2,1,9998385.16187676
2,1,9905756.936921554
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
0,-1,9952086.34576334
