side,entry_time,exit_time,entry_price,exit_price,holding_bars,net_return_pct,equity_after,mfe_pct,mae_pct
long,2020-12-09 14:00:00,2020-12-15 09:00:00,1848.065,1846.158,87,0.21657394089995563,0.9203404342557255,0.0,-1.3143477096314249
short,2020-12-15 09:00:00,2021-01-08 14:00:00,1846.158,1862.795,368,-1.360387945432695,0.908430836637214,0.1836245868446773,-6.041032241010802
long,2021-01-08 14:00:00,2021-01-20 19:00:00,1862.795,1869.628,184,0.13226770118397457,0.9108593359544931,0.36681438376202635,-2.2428662305836067
short,2021-01-20 20:00:00,2021-01-21 13:00:00,1871.548,1864.145,17,0.6016120456912244,0.9163391754388984,0.5724138520625699,-0.13502191768526295
long,2021-01-21 13:00:00,2021-01-21 19:00:00,1864.145,1868.778,7,0.4189150073854009,0.918819623931317,0.2746567461222149,-0.025749069948954872
short,2021-01-21 19:00:00,2021-01-22 02:00:00,1868.778,1861.509,7,0.45142929613022353,0.9230039478069278,0.4364884432500715,-0.044788626578440294
long,2021-01-22 02:00:00,2021-01-25 11:00:00,1861.509,1862.862,32,0.07770398059168127,0.9235575810210191,0.12602678794462197,-0.9865114807395492
short,2021-01-25 13:00:00,2021-01-25 14:00:00,1855.755,1851.765,2,0.22786418931082242,0.9256620380158312,0.21500683010419186,0.0
long,2021-01-25 14:00:00,2021-01-29 11:00:00,1851.765,1865.115,90,0.2919124178812016,0.9306437007990475,0.7209338117957653,-0.8510799156480453
short,2021-01-29 12:00:00,2021-01-29 15:00:00,1871.788,1857.572,4,0.27245983895314296,0.9331793311274721,0.7594877197631411,0.0
long,2021-01-29 15:00:00,2021-02-01 03:00:00,1857.572,1860.275,11,0.10381907257168699,0.9348223562036709,0.20187642793927374,-0.8557945533201328
short,2021-02-01 03:00:00,2021-02-02 08:00:00,1860.275,1850.155,29,0.5420872585188752,0.9398875959333183,0.6499039120560157,-0.2734541936004087
long,2021-02-02 08:00:00,2021-02-08 16:00:00,1850.155,1832.625,100,-0.4643205433187636,0.9356525066885002,0.0,-3.481329942626432
